file,line,col,log_line,raw_message,category,suggestion
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/AdjacencyList.hpp,178.0,22.0,345,unused variable ‘warning’ [-Wunused-variable],unused symbol,"Remove the unused symbol, use it intentionally, or suppress with the appropriate attribute/pragmas (e.g., [[maybe_unused]])."
<unknown>,,,346,: warnings) {,generic warning,"Read the full compiler/tool message and follow its suggested fix; if unclear, paste the specific warning for tailored advice."
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/AdjacencyList.hpp,178.0,22.0,352,unused variable ‘warning’ [-Wunused-variable],unused symbol,"Remove the unused symbol, use it intentionally, or suppress with the appropriate attribute/pragmas (e.g., [[maybe_unused]])."
<unknown>,,,353,: warnings) {,generic warning,"Read the full compiler/tool message and follow its suggested fix; if unclear, paste the specific warning for tailored advice."
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,361,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,375,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,389,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/AdjacencyList.hpp,178.0,22.0,401,unused variable ‘warning’ [-Wunused-variable],unused symbol,"Remove the unused symbol, use it intentionally, or suppress with the appropriate attribute/pragmas (e.g., [[maybe_unused]])."
<unknown>,,,402,: warnings) {,generic warning,"Read the full compiler/tool message and follow its suggested fix; if unclear, paste the specific warning for tailored advice."
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/AdjacencyList.hpp,178.0,22.0,408,unused variable ‘warning’ [-Wunused-variable],unused symbol,"Remove the unused symbol, use it intentionally, or suppress with the appropriate attribute/pragmas (e.g., [[maybe_unused]])."
<unknown>,,,409,: warnings) {,generic warning,"Read the full compiler/tool message and follow its suggested fix; if unclear, paste the specific warning for tailored advice."
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/AdjacencyList.hpp,178.0,22.0,415,unused variable ‘warning’ [-Wunused-variable],unused symbol,"Remove the unused symbol, use it intentionally, or suppress with the appropriate attribute/pragmas (e.g., [[maybe_unused]])."
<unknown>,,,416,: warnings) {,generic warning,"Read the full compiler/tool message and follow its suggested fix; if unclear, paste the specific warning for tailored advice."
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,424,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,438,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,441,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,444,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,452,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,466,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
